date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-01-12 19:00:00+00:00,RKC Waalwijk,Heracles Almelo,1,2,AWAY_TEAM
2024-01-13 15:30:00+00:00,Fortuna Sittard,Sparta Rotterdam,0,2,AWAY_TEAM
2024-01-13 17:45:00+00:00,FC Twente '65,AZ,2,1,HOME_TEAM
2024-01-13 19:00:00+00:00,PEC Zwolle,SC Heerenveen,2,2,DRAW
2024-01-13 20:00:00+00:00,PSV,SBV Excelsior,3,1,HOME_TEAM
2024-01-14 11:15:00+00:00,FC Volendam,Almere City FC,0,1,AWAY_TEAM
2024-01-14 13:30:00+00:00,Go Ahead Eagles,AFC Ajax,2,3,AWAY_TEAM
2024-01-14 13:30:00+00:00,SBV Vitesse,FC Utrecht,0,0,DRAW
2024-01-14 15:45:00+00:00,Feyenoord Rotterdam,NEC,2,2,DRAW
2024-01-19 19:00:00+00:00,SBV Excelsior,SC Heerenveen,3,0,HOME_TEAM
2024-01-20 15:30:00+00:00,NEC,FC Twente '65,1,0,HOME_TEAM
2024-01-20 17:45:00+00:00,Heracles Almelo,FC Volendam,1,1,DRAW
2024-01-20 19:00:00+00:00,AZ,PEC Zwolle,2,2,DRAW
2024-01-21 11:15:00+00:00,FC Utrecht,PSV,1,1,DRAW
2024-01-21 13:30:00+00:00,SBV Vitesse,Feyenoord Rotterdam,1,2,AWAY_TEAM
2024-01-21 13:30:00+00:00,Sparta Rotterdam,Go Ahead Eagles,0,2,AWAY_TEAM
2024-01-21 15:45:00+00:00,AFC Ajax,RKC Waalwijk,4,1,HOME_TEAM
2024-01-24 17:45:00+00:00,Almere City FC,Fortuna Sittard,0,0,DRAW
2024-01-26 19:00:00+00:00,PEC Zwolle,SBV Vitesse,1,0,HOME_TEAM
2024-01-27 17:45:00+00:00,RKC Waalwijk,Sparta Rotterdam,1,1,DRAW
2024-01-27 17:45:00+00:00,PSV,Almere City FC,2,0,HOME_TEAM
2024-01-27 20:00:00+00:00,SBV Excelsior,FC Utrecht,1,1,DRAW
2024-01-27 20:00:00+00:00,Heracles Almelo,AFC Ajax,2,4,AWAY_TEAM
2024-01-28 11:15:00+00:00,SC Heerenveen,AZ,2,2,DRAW
2024-01-28 13:30:00+00:00,Go Ahead Eagles,NEC,2,2,DRAW
2024-01-28 13:30:00+00:00,Feyenoord Rotterdam,FC Twente '65,0,0,DRAW
2024-01-28 15:45:00+00:00,FC Volendam,Fortuna Sittard,0,1,AWAY_TEAM
2024-02-02 19:00:00+00:00,Almere City FC,SBV Excelsior,2,1,HOME_TEAM
2024-02-03 15:30:00+00:00,FC Twente '65,RKC Waalwijk,3,0,HOME_TEAM
2024-02-03 17:45:00+00:00,Fortuna Sittard,SC Heerenveen,3,3,DRAW
2024-02-03 19:00:00+00:00,AFC Ajax,PSV,1,1,DRAW
2024-02-03 20:00:00+00:00,NEC,Heracles Almelo,3,1,HOME_TEAM
2024-02-04 11:15:00+00:00,SBV Vitesse,Go Ahead Eagles,0,2,AWAY_TEAM
2024-02-04 13:30:00+00:00,AZ,Feyenoord Rotterdam,0,1,AWAY_TEAM
2024-02-04 13:30:00+00:00,FC Utrecht,FC Volendam,4,2,HOME_TEAM
2024-02-04 15:45:00+00:00,Sparta Rotterdam,PEC Zwolle,0,2,AWAY_TEAM
2024-02-09 19:00:00+00:00,RKC Waalwijk,NEC,2,0,HOME_TEAM
2024-02-10 17:45:00+00:00,SBV Excelsior,FC Twente '65,0,3,AWAY_TEAM
2024-02-10 19:00:00+00:00,Almere City FC,AZ,0,0,DRAW
2024-02-10 20:00:00+00:00,Heracles Almelo,SBV Vitesse,3,2,HOME_TEAM
2024-02-11 11:15:00+00:00,Go Ahead Eagles,PEC Zwolle,1,1,DRAW
2024-02-11 13:30:00+00:00,FC Utrecht,Fortuna Sittard,4,0,HOME_TEAM
